post_id;timestamp;views;reactions;forwards;text;campaign_id;tracking_payload;content_type;channel_id;deep_link
1874;2026-08-30 16:26:00;4700;48;29;ИИ-инженеры зарабатывают 300к/наносек! Вебинар про AI-агентов и промокод на курс ПРО;camp_pro_ai_ml;proai_p1874;webinar_ai;ch_postupashki_main;https://t.me/postupashki_bot?start=proai_p1874
1875;2026-08-31 17:11:00;4200;25;27;Открылся отбор на стажировку в Т-Банк! Задачи контеста выложены, разборы на курсах ПРО;camp_bigtech_internships;bigtech_p1875;native_solutions;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1875
1876;2026-08-01 20:40:00;6800;223;95;Как НЕ продолбать год. Новый учебный год, стажировки и карьерные цели;camp_warmup;warmup_p1876;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1876
1877;2026-09-02 19:06:00;4500;63;34;5 причин, почему нужно податься на стажировку в Т-Банк до 6 сентября;camp_bigtech_internships;bigtech_p1877;native_solutions;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1877
1878;2026-09-03 19:06:00;3900;27;20;Скоро заканчивается отбор на стажировку в Т-банк. Разбор контеста для наших студентов;camp_bigtech_internships;bigtech_p1878;deadline_push;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1878
1880;2026-09-06 12:06:00;4100;32;25;Через 12 часов закончится отбор на стажировку Т-банк! Разбор направлений на курсах ПРО;camp_bigtech_internships;bigtech_p1880;deadline_push;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1880
1881;2026-09-06 15:06:00;4000;34;28;Разбор экзамена на стажировку в Т-банк за подписку в боте!;camp_bigtech_internships;bigtech_p1881;native_solutions;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1881
1882;2026-09-06 18:04:00;4300;51;31;Стажировки для разработчиков: куда податься джуну осенью;camp_bigtech_internships;bigtech_p1882;native_solutions;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1882
1885;2026-09-06 20:44:00;3600;15;18;Слив протоколов собеседований на аналитика в Т-Банке;camp_bigtech_internships;bigtech_p1885;native_solutions;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1885
1887;2026-09-07 13:47:00;4400;35;30;Уметь считать != уметь анализировать. С 7 по 13 сентября бесплатная неделя Аналитика вне SQL;camp_free_analytics_nosql;nosql_p1887;lead_magnet_free;ch_postupashki_main;https://t.me/postupashki_bot?start=nosql_p1887
1892;2026-09-07 17:05:00;3700;21;19;Слив протоколов АВ тестирования для кейс-интервью Х5;camp_free_analytics_nosql;nosql_p1892;lead_magnet_free;ch_postupashki_main;https://t.me/postupashki_bot?start=nosql_p1892
1893;2026-09-07 18:51:00;3500;8;12;Ждем вас в 19:00 на первом занятии курса Аналитика вне SQL;camp_free_analytics_nosql;nosql_p1893;lead_magnet_free;ch_postupashki_main;https://t.me/postupashki_bot?start=nosql_p1893
1895;2026-09-08 18:27:00;4600;63;41;Собрали все задачи с алгосекции Яндекса в одном файле с разбором частых ошибок;camp_bigtech_internships;bigtech_p1895;native_solutions;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1895
1897;2026-09-09 17:17:00;3800;23;16;Как готовиться к софт собесам в Авито: вопросы, критерии оценки, кейсы;camp_warmup;warmup_p1897;expert_guide;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1897
